county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
alpine,California Online CCW,,https://californiaonlineccw.com/alpine-county-so,530-694-2231,,Markleeville,CA,https://permitium-downloads.s3.us-east-1.amazonaws.com/Alpine+PD/CCW_Instructors.pdf,pdf
alpine,Case Defensive Training Group,,https://casedefensivetraininggroup.com,209-665-5541,,Angels Camp,CA,https://permitium-downloads.s3.us-east-1.amazonaws.com/Alpine+PD/CCW_Instructors.pdf,pdf
alpine,Dynamic CCW Academy,,https://calaverasccw.com,209-770-5550,,Arnold,CA,https://permitium-downloads.s3.us-east-1.amazonaws.com/Alpine+PD/CCW_Instructors.pdf,pdf
alpine,Northern Firearms Instruction,,https://countyccw.com,530-776-4855,,Several Northern California Counties,CA,https://permitium-downloads.s3.us-east-1.amazonaws.com/Alpine+PD/CCW_Instructors.pdf,pdf
alpine,Sierra CCW Firearms Training,,,530-563-6397,,Truckee,CA,https://permitium-downloads.s3.us-east-1.amazonaws.com/Alpine+PD/CCW_Instructors.pdf,pdf
amador,Accuracy Firearm Training,,,916-316-6996,Exglock@gmail.com,Rocklin,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,All American Safety LLC,Rick Tran,,916-267-3882,AllAmericanSafetyLLC@gmail.com,El Dorado Hills,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Amador CCW Instruction,Mike Neff,,209-304-1420,mikeneff@volcano.net,Fiddletown,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Applied Firearms Training LLC,Don Sozzi,,209-981-7325,,Plymouth,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Archer CCW,Kevin Archer,,559-760-0746,kma_4040@hotmail.com,Amador County,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Basic Firearms Training,Philip Webster,https://www.basicfirearmstraining.net,916-718-0976,,Sacramento,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Bellicose Family Safety Solutions,,,530-272-2465,,Grass Valley,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Cali Gunlady,Erica Mitchell,,209-637-7085,CaliGunLady@gmail.com,Sloughhouse,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Conway Defense,,,209-762-7862,NTConway@comcast.net,Amador County,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Defensive Accuracy,,https://www.daccw.com,408-687-3791,,Lodi,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Delta Romeo Firearms Training,Darren Riddiough,https://www.deltaromeoft.com,,,Fair Oaks,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Forensic Consultant Services,Michael Oliveira,,209-795-0985,,Arnold,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Gold Country Firearms,Joe Dirickx,https://www.gcfguns.com,209-223-0000,ccwtrainer@live.com,Jackson,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Lagomarsino's Firearm,Wesley Lagomarsino,https://www.lfiguns.com,209-401-0907,,Sloughhouse,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Make Ready Firearms Training,Samuel Paredes,,916-717-0908,,Folsom,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Morgan Training Center,Donald Morgan,,916-296-7873,MorganTrainingCenter@gmail.com,Elk Grove,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,New Man's Karate,,,530-622-2330,,Placerville,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,NTS Next Threat Solutions,,https://www.nextthreatsolutions.com,916-306-7959,info@nextthreatsolutions.com,El Dorado Hills,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,One on One Firearm Instruction,Joseph Truesdale,https://www.calcarry.com,916-494-9663,,Rocklin,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Peabody's Gun Range,,https://www.peabodygsunrange.com,916-644-0991,geofpeabody@gmail.com,Placerville,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Peoples Firearms Training,,,530-919-3964,,Placerville,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Pistols In The Pines,Laura Parker,,916-647-7632,,Ione,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Protection Plus Tactics,Shawn Way,https://www.protectionplustactics.com,916-577-2522,,Loomis,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,ROZO Tactical,,https://www.rozotactical.com,209-916-5113,,Copperopolis,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,RMC Firearms Instruction,Robert Cristoni,,916-747-3817,ccwinstr@gmail.com,Foresthill,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Security Academy at McClellan,,,916-333-5308,,McClellan,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,SAFETraining.us,,,,,El Dorado,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,"Solution Six:8, Inc",,https://www.solution68.com,916-753-1865,mrayfield@solution68.com,Elk Grove,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Spartan Defense,,,209-202-8283,,Valley Springs,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Total Training Solutions Group,Fidel Taylor,,855-550-8755,,Lake Havasu,AZ,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Vandagriff Consulting,Erik Vandagriff,,530-320-8858,evandagriff@sebastiancorp.net,Foresthill,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Weapons Training School,,https://www.weaponstrainingschool.com,209-532-6677,,Jamestown,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,West Point Concealed Weapons Training,G.L Young,,209-293-4527,,West Point,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Safely Carry,,https://www.safelycarry.com,916-296-4076,safelycarry@gmail.com,Eldorado Hills,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
butte,Angel's Firearm Instruction,,https://www.angelsfirearmsinstruction.com,(530) 990-1807,djtdangel@sbcglobal.net,Chico,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,AFI Crossed Star Firearms,,https://www.crossedstarfirearms.com,(530) 790-5187,crossedstarfirearms@yahoo.com,Chico,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,Armed Safety Firearms Instruction,,,(530) 300-8000,armedsafety@yahoo.com,Oroville,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,Down Range Indoor Training Center,,https://www.downrangechico.com,(530) 896-1992,info@DownRangeChico.com,Chico,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,Azevedo Firearms Training,,,(530) 518-9210,azevedofirearms@sbcglobal.net,Biggs,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,Echo Whiskey Tactical,,https://www.echowhiskeytactical.com,(530) 690-5599,info@echowhiskeytactical.com,Durham,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,"Black Oak Training, Inc.",,https://www.blackoaktraining.com,(530) 624-1562,info@blackoaktraining.com,Magalia,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,Hammer Down,,https://www.hammerdowntactical.com,(530) 712-5432,info@hammerdowntactical.com,Oroville,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,Miladi Defense,,https://www.miladidefense.com,(530) 713-5139,staff@miladidefence.com,Chico,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,Chico Rod & Gun Club,,https://www.chicogunclub.org,(530) 715-0145,chicogunclub@gmail.com,Chico,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,Monty's Combat Arms,,,(530) 531-5150,montyscombatarms@gmail.com,Gridley,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,Jim's Sporting Goods,,,(530) 632-1462,jhrogers@comcast.net,Biggs,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,Northern Firearms Instruction,,https://www.usgunpro.com,(530) 999-1822,Ted@usgunpro.com,Chico,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,Red Dot Self Defense,,https://www.facebook.com/reddotselfdefense,(209) 920-7162,RedDotSelfDefense@gmail.com,Chico,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,Vandagriff Consulting,,,(530) 320-8858,erikvandagriff@gmail.com,Richvale,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
butte,Patrick Benedict Firearms Training,,,(916) 704-4963,pbenedict74@gmail.com,Oroville,CA,https://www.buttecounty.net/DocumentCenter/View/15396/CCW-Providers-04-14-25,pdf
calaveras,Baxter Firearms Training,Michael Baxter,,(916) 729-8377,mike@alwaysBtraining.com,Sloughhouse,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Bear Arms Defense,Seth Yeadon,,(209) 768-8378,seth-yeadon@hotmail.com,Angels Camp,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Bellicose Family Safety Solutions,Karen Cose,,(530) 272-2465,kjcbellicose@gmail.com,Grass Valley,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Bill Tidwell,Bill Tidwell,,(510) 552-4742,bill@train2besafe.com,Jamestown,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Called2Arms Gun Range,,https://sintexsecurity.com,(209) 5757-4867,Sintex2@aol.com,Modesto,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Capito Frye Private Eye,Jason Frye,,(209) 770-6283,forenspsych@ymail.com,Columbia,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Case Defensive Training Group,Chad P. Case,https://casedefensivetraininggroup.com,(209) 665-5541,,Angels Camp,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,CJ'S World,,https://www.cjsworld.net,(209) 905-8615,info@cjsworld.net,Stockton,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Coco Firearm Training,Timothy Trickel,https://cocofirearmtraining.com,(925) 384-1920,tim@cocofirearmtraining.com,Sloughhouse,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Concealed Coalition,,https://www.concealedcoalition.com,(800) 805-2238,info@concealedcoalition.com,Manteca,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,"Defensive Accuracy, LLC",,https://www.daccw.com,(408) 687-3791,,Linden,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Defensive Weapons School,Dan Souza,,(925) 549-0480,dan_souza05@yahoo.com,Valley Springs,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Dobbs Firearms Training,Charles Dobbs,,(888) 486-0250,cdobbs@dobbsfirearmtraining.com,Sloughhouse,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Dynamic CCW Academy,Tim Muetterties,https://www.calaverasccw.com,(209) 770-5550,tim@skibear.com,Angels Camp,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,"First Response, Firearms & Tactical Training",,https://firstresponsetrng.com,(209) 625-8016,,Linden,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Forensic Consultant Services,Michael Oliveira,,(925) 872-9764,michael@forensicconsultantservices.com,Angels Camp,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Fred's Firearms,,https://www.fredsfirearms.net,(209) 840-2126,Fredsfirearms@gmail.com,Oakdale,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Grover Group,,https://ggccw.biz,(510) 676-6076,anoop@grovergroup.biz,Tracy,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Gunlady Defensive Firearms Training,Erica Mitchell,,(209) 637-7085,caligunlady@gmail.com,Sloughhouse,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,"Kiwi's Custom Guns, Inc.",,https://www.kiwiscustomguns.com,(209) 863-2355,info@kiwiscustomguns.com,Riverbank,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,KW Defense,Chuck Fields,https://www.kwdefense.com,(209) 451-4111,info@kwdefense.com,Stockton,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Lagomarsino's Firearms Institute,,https://www.lfiguns.com,(209) 401-0907,ccwtrainer@live.com,Sacramento,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Loyal Arms,,,(916) 680-9888,emilio@loyalarms.com,Folsom,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,"Madison Society Foundation, Inc.",,,(209) 318-5730,Registration@madisonsocietyfoundation.org,,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Northern Firearms Instruction,Seth Stout,https://countyccw.com,(530) 999-1822,sstout@usgunpro.com,Calaveras,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Red Dot Self Defense,,,(209) 920-7162,reddotselfdefense@gmail.com,Sloughhouse,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,RMC Firearms Instruction,,,(916) 747-3817,ccwinstr@gmail.com,Foresthill,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Rosengarten Firearm Training,Marcelo; Richard,,(209) 610-1425,rosengartenfirearmtraining@gmail.com,Ripon,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,"ROZO Tactical, LLC",Ryan Oatts,,(209) 916-5113,rozotactical@gmail.com,Copperopolis,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Security & Firearms Training Academy,,,(916) 500-1442,Sherryann@safta-inc.com,North Highlands,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Shooters on the Line,,,(916) 337-1753,shootersontheline@yahoo.com,Sloughhouse,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Sierra Shield Firearms Training,,,(530) 387-0110,store@sierrashield.com,Placerville,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
calaveras,Spartan Defense of California,Fidel Taylor,https://www.trainwithspartan.com,(209) 202-8283,,Valley Springs,CA,https://sheriff.calaverasgov.us/Records-Civil/CCW,webpage
