county,vendor_name,instructor_names,email,phone,website_url,booking_capability,city,state,address,price_16hr_full,price_8hr_renewal,price_add_a_gun,vendor_description,crawl_status,enrichment_confidence,confidence_notes,logo_path,instructor_image_paths,training_image_paths,enriched_at
alpine,California Online CCW,,,530-694-2231,https://californiaonlineccw.com/alpine-county-so,inquiry_only,Markleeville,CA,"99 Water St, Markleeville, CA 96120",,,,"The Alpine County Sheriff's Office provides CCW services covering roughly 1,100 square miles of Alpine County. They require appointments for shooting qualifications with a $150 fee for the live-fire portion. Non-resident applicants must complete a 16-hour course and arrange shooting qualification through the department.",success,low,"This appears to be a Sheriff's Office providing CCW services rather than a training vendor. Only found shooting qualification fee of $150, no course pricing or training details.",alpine/californiaonlineccw-com/logo.jpg,,,2026-04-13T04:37:12+00:00
alpine,Case Defensive Training Group,,,209-665-5541,https://casedefensivetraininggroup.com,inquiry_only,Angels Camp,CA,"The Angels Gun Club, Angels Camp, CA 95222",300,200,,"Case Defensive Training Group provides firearms training and CCW classes taught by Andrea and Chad Case, both Certified Deadly Force Instructors. They specialize in educating students on the judicious use of deadly force, covering California laws, mock scenarios, and court cases that emphasize justifiable self defense. The training is conducted at the Angels Gun Club in Angels Camp, CA and is currently approved by multiple law enforcement agencies including Angels PD, Jackson PD, and several county sheriff's offices.",success,high,"Clear pricing for CCW courses, specific location, detailed instructor credentials, and comprehensive description of services. Registration is email-based inquiry only.",,alpine/casedefensivetraininggroup-com/instructor_1.jpg|alpine/casedefensivetraininggroup-com/instructor_2.jpg|alpine/casedefensivetraininggroup-com/instructor_3.jpg,,2026-04-13T04:37:12+00:00
alpine,Dynamic CCW Academy,,,209-770-5550,https://calaverasccw.com,inquiry_only,Arnold,CA,"2403 Gun Club Rd, Angels Camp, CA 95222",,,,"Dynamic CCW Academy is led by instructors Tim and Mike, who are recognized for their depth of knowledge and professional approach to CCW training. The academy provides comprehensive CCW certification classes with well-structured material, real-life examples, and thorough explanation of firearm operation and concepts. They offer ongoing support to students after course completion, providing continued advice and references.",success,low,"Found contact information and good testimonial describing the business, but no pricing information, course structure details, or clear booking process. Website appears to focus on video content rather than course details.",alpine/calaverasccw-com/logo.jpg,,,2026-04-13T04:37:12+00:00
alpine,Northern Firearms Instruction,,,530-776-4855,https://countyccw.com,inquiry_only,,CA,"11091 Rhyolite Dr #1, Redding, CA 96003",,,,"Northern Firearms Instruction is a team of highly experienced NRA-credentialed instructors operating throughout California, serving over 50 counties and cities. They specialize in California CCW courses for both new and experienced shooters, teaching in a stress-free learning environment with private ranges and classrooms. NFI maintains strict instructor-to-student ratios and holds certifications including CA CCW, NRA Pistol, NRA Personal Protection, and DOJ Firearms Instruction.",success,medium,"Found good vendor description and multiple training locations, but no pricing information available and booking appears to require phone contact rather than direct online booking",,,alpine/countyccw-com/training_1.jpg|alpine/countyccw-com/training_2.jpg,2026-04-13T04:37:12+00:00
alpine,Sierra CCW Firearms Training,,,530-563-6397,https://www.sierraccw.net/,direct_booking,Truckee,CA,"10000 Truckee Airport Rd, Truckee, CA 96161",750,500,,"Sierra CCW provides objective, evidence-based instruction for California concealed carry classes in Truckee, California. The company is founded by Robert G. Scott, a Certified CCW Instructor, Range Safety Officer, and author of the California CCW Handbook. Sierra CCW offers one-on-one instruction scheduled at your convenience and specializes in classes designed for applicants with critical self-defense needs.",success,medium,"Clear pricing for full courses and direct booking capability, but no street address found and no information about add-a-gun pricing or day-by-day pricing breakdown",,,,2026-04-14T20:40:57+00:00
amador,Accuracy Firearm Training,,Exglock@gmail.com,916-316-6996,https://accuracyfirearm.com/,direct_booking,Rocklin,CA,"15501 Meiss Road, Sloughhouse, California 95683, United States",,,,"Accuracy Firearm Training provides CCW initial and renewal courses at Sacramento Valley Shooting Center, a private 851-acre outdoor range in Sloughhouse, CA. Led by NRA-certified instructor Razmik Carapetian (Mick), who has military background and competitive shooting experience with 8+ years of instruction and a 100% safety record. The company emphasizes safe, friendly training environments and offers classes for multiple California counties including Sacramento, Placer, and Contra Costa.",success,medium,"Clear booking capability and strong vendor description found, but no pricing information visible on the website content provided. Schedule shows 2-day courses but pricing details are missing.",amador/accuracyfirearm-com/logo.jpg,,,2026-04-14T20:40:57+00:00
amador,All American Safety LLC,Rick Tran,AllAmericanSafetyLLC@gmail.com,916-267-3882,https://allamericansafetyllc.com/,direct_booking,El Dorado Hills,CA,"15501 Meiss Road, Sloughhouse, CA 95683",350,150,,"All American Safety LLC is led by Rick, a firearms advisor serving the Sacramento region with over a decade of law enforcement experience. As an FBI-Certified Firearms Instructor and Certified CA Department of Justice Instructor, Rick specializes in firearms training, concealed carry weapons, everyday carry, urban survival, and responsible gun ownership. The company offers various pistol training levels from basic to advanced, along with CCW classes and women's-only training options.",success,medium,"Clear booking capability and CCW pricing found. Renewal class is listed as 4-hour (not the standard 8-hour), so mapped to null. No separate day pricing for 16hr course or add-a-gun fees found. Address is for the range location, not business address.",,,amador/allamericansafetyllc-com/training_1.jpg|amador/allamericansafetyllc-com/training_2.jpg|amador/allamericansafetyllc-com/training_3.jpg,2026-04-14T20:40:57+00:00
amador,Amador CCW Instruction,Mike Neff,mikeneff@volcano.net,209-304-1420,http://www.amadorccw.com/,inquiry_only,Fiddletown,CA,"11310 Prospect Drive #10-2, Jackson, CA 95642",,,,"Amador CCW provides firearms training conducted at a private range by appointment. Led by Mike Neff, a DOJ certified instructor and NRA Pistol Instructor, the company serves as an approved instructor for Amador and Tuolumne Counties. They offer personalized training with flexible scheduling to meet individual needs.",success,low,"No pricing information found. Basic contact info and credentials available, but limited details about specific course offerings or booking process beyond appointment-based training.",,,,2026-04-14T20:40:57+00:00
amador,Applied Firearms Training LLC,Don Sozzi,,209-981-7325,,,Plymouth,CA,,,,,,no_website,,,,,,2026-04-13T04:37:12+00:00
amador,Archer CCW,Kevin Archer,kma_4040@hotmail.com,559-760-0746,,,,CA,,,,,,no_website,,,,,,2026-04-13T04:37:12+00:00
