county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
amador,Accuracy Firearm Training,,,916-316-6996,Exglock@gmail.com,Rocklin,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,All American Safety LLC,Rick Tran,,916-267-3882,AllAmericanSafetyLLC@gmail.com,El Dorado Hills,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Amador CCW Instruction,Mike Neff,,209-304-1420,mikeneff@volcano.net,Fiddletown,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Applied Firearms Training LLC,Don Sozzi,,209-981-7325,,Plymouth,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Archer CCW,Kevin Archer,,559-760-0746,kma_4040@hotmail.com,Amador County,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Basic Firearms Training,Philip Webster,https://www.basicfirearmstraining.net,916-718-0976,,Sacramento,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Bellicose Family Safety Solutions,,,530-272-2465,,Grass Valley,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Cali Gunlady,Erica Mitchell,,209-637-7085,CaliGunLady@gmail.com,Sloughhouse,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Conway Defense,,,209-762-7862,NTConway@comcast.net,Amador County,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Defensive Accuracy,,https://www.daccw.com,408-687-3791,,Lodi,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Delta Romeo Firearms Training,Darren Riddiough,https://www.deltaromeoft.com,916-462-7158,,Fair Oaks,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Forensic Consultant Services,Michael Oliveira,,209-795-0985,,Arnold,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
amador,Gold Country Firearms,Joe Dirickx,https://www.gcfguns.com,209-223-0000,ccwtrainer@live.com,Jackson,CA,https://cdn.prod.website-files.com/654e71019f991190fc202044/694054907e63abf37ed1430b_10-23-25-AmadorSO_Approved-CCW-Vendor-list-Rev-101624-(1)-a844f5.pdf,pdf
