county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
el-dorado,Armed and Hammered,,,(916) 871-6007,Armedandhammered2022@gmail.com,El Dorado Hills,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Best Handgun Training,,https://www.besthandguntraining.com,(916) 744-6969,,Lincoln,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Big Horn Gun Shop,,https://bighornfirearms.com,(530) 642-1892,,El Dorado,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Dead Eye CCW,,,(408) 234-4903,Deadyeyeccw@hotmail.com,El Dorado Hills,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Defense Shot,,https://defenseshot.com,(530) 206-6377,,El Dorado Hills,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Defense Triad,,https://www.defensivetriad.com,(916) 765-5661,,Rocklin,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Hangtown Range,,https://www.hangtownrange.net,(530) 497-5443,,Placerville,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Lagomarsino's Firearm Institute Inc,,https://www.lfiguns.com,(209) 401-0907,,Sacramento,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Lock-n-Load,,https://www.locknloadconcealedcarry.com,(916) 705-2258,,El Dorado Hills,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Loyal Arms,,https://www.loyalarms.com,(916) 680-9888,,Folsom,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,New Man's Karate,Scott Neuman,https://newmanskarate.com,530-622-2330,,Placerville,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Next Threat Solutions,,https://www.nextthreatsoulutions.com,916-306-7959,,El Dorado Hills,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Northern Firearms Instruction,,https://countyccw.com,530-999-1822,,Rocklin,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,One on One Firearms Instruction LLC,,https://www.oneononefirearms.com,(916) 494-9663,,Sacramento,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Personalized Armed Defense,,,530-409-2346,Cjeremica@gmail.com,Rescue,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Personal Defense Weapons,,,530-919-3964,Pdweldoradocounty@gmail.com,El Dorado Hills,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Sacramento Gun Range,,,916-246-2010,c.schager@sgrange.us,Sacramento,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Safely Carry,,https://www.safelycarry.com,916-296-4076,,El Dorado Hills,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Shoot Don't Shoot,,https://sdsshootdontshoot.com,(530) 409-4211,,Placerville,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Sierra Mountain Firearms,,https://sierramountainfirearms.com,(530) 387-0110,,Shingle Springs,CA,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,AAO,,https://aao-co.com,(707) 400-3677,Bryan@aao-co.com,,,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Northern Firearms Instruction,,https://californiaonlineccw.com/northern-firearms-instruction#available-course,(530) 999-1822,sstout@usgunpro.com,,,https://eldoradoca.permitium.com/ccw/start,portal
el-dorado,Safe Insight,,https://safeinsight.myshopify.com/collections/non-resident-ccw,,Admin@Safeinsight.net,,,https://eldoradoca.permitium.com/ccw/start,portal
