county,vendor_name,instructor_names,email,phone,website_url,booking_capability,city,state,address,price_16hr_day1,price_16hr_day2,price_16hr_full,price_8hr_renewal,price_8hr_initial,price_add_a_gun,vendor_description,crawl_status,enrichment_confidence,confidence_notes,logo_path,instructor_image_paths,training_image_paths,enriched_at
marin,AAO,Bryan Kinney,bkinney@aao-co.com,(707) 400-3677,https://aao-co.com,direct_booking,Petaluma,CA,,,,350,175,,75,"AAO is a certified California CCW training provider serving the Bay Area with both in-person and online courses. Their team of DOJ certified instructors includes law enforcement veterans with decades of experience who provide comprehensive, personalized CCW instruction. They offer a complete range of services from initial permits to renewals and modifications, with classes held in Petaluma and surrounding counties.",success,high,"Clear pricing found for most services, direct online booking available, comprehensive instructor credentials provided. No specific address found but Petaluma location confirmed.",,marin/aao-co-com/instructor_1.jpg|marin/aao-co-com/instructor_2.jpg,marin/aao-co-com/training_1.jpg|marin/aao-co-com/training_2.jpg|marin/aao-co-com/training_3.jpg,2026-04-13T04:25:31+00:00
marin,2A Firearms Academy,Doug Kevilus,,(707) 410-0389,https://www.2afirearmsacademy.com/marin-county-ccw,inquiry_only,,,,,,425,275,,,"2A Firearms Academy is an officially authorized CCW training provider recognized by the Marin County Sheriff's Office. They offer 16-hour initial CCW training courses and 8-hour renewal classes designed for both new and experienced shooters. The academy provides hands-on training focused on safe firearm handling, legal education, and confidence-building techniques, serving Marin County and surrounding Bay Area communities.",success,medium,"Clear pricing found for full 16hr course ($425) and 8hr renewal ($275), but individual day pricing not specified. Booking requires phone call. No specific address found, though they serve Marin County area. Additional gun qualification mentioned as 'no extra charge' but no specific add-a-gun fee structure.",marin/2afirearmsacademy-com/logo.png,marin/2afirearmsacademy-com/instructor_1.jpg,marin/2afirearmsacademy-com/training_1.jpg|marin/2afirearmsacademy-com/training_2.jpg|marin/2afirearmsacademy-com/training_3.jpg,2026-04-13T04:25:31+00:00
marin,Bigfoot Firearms Academy/Pacific Outfitters,Aaron Ostrom; Cole Greene; Roy Williams,,(844) 926-6566,https://www.bigfootfirearmstraining.com,inquiry_only,Eureka,CA,"1536 6th Street Eureka, CA 95501",,,,,,,"Bigfoot Firearms Training Academy is the largest civilian firearms training facility in the region with over 10 years of experience, training up to 1,000 civilians annually. They offer California CCW courses for both first-time applicants and renewals, along with intro to firearms classes and various skill builder courses for handgun, AR-15, and shotgun. The academy takes pride in their intimidation-free teaching approach designed to build confidence across all skill levels.",success,medium,"Clear vendor description and contact info found, but no specific pricing information available. CCW courses mentioned but no pricing details provided.",,,,2026-04-13T04:25:31+00:00
marin,Bay Area Tactical Group (BAT Tactical),,,(415) 568-6803,https://www.battactical.com,direct_booking,San Carlos,CA,,,,400,200,,,"Bay Area Tactical Group (BAT Tactical) is a premier destination for tactical and firearms training in the Bay Area, offering courses for all skill levels from basic handgun training to advanced tactics and defensive strategies. Their expert instructors provide top-notch education in a safe and supportive learning environment at their beautiful ranch range with multiple private and public ranges available. They specialize in California CCW courses and are an official California CCW and Multistate vendor, while also offering rifle, shotgun, medical training, and long-range precision courses.",success,high,Clear pricing found for main CCW courses and good vendor description available. Booking capability evident from 'Shop Now' buttons and cart system. Missing specific address and day-by-day pricing breakdown.,,,marin/battactical-com/training_1.png|marin/battactical-com/training_2.png|marin/battactical-com/training_3.png,2026-04-13T04:25:31+00:00
marin,Coco Firearm Training LLC,Timothy Trickel,info@cocofirearmtraining.com,(925) 384-1920,https://cocofirearmtraining.com,unclear,,,,,,,,,,"Coco Firearm Training LLC is an approved CCW training vendor serving many agencies within the Bay Area, including Alameda County Sheriff's Office, Antioch PD, Contra Costa County Sheriff's Office, and over 15 other law enforcement agencies. Based out of Oakley, California, they operate by appointment only and offer firearms training and concealed carry courses.",success,low,"Website shows booking interface exists but no pricing information visible, no course details or specific address found despite location being mentioned as Oakley, California",,marin/cocofirearmtraining-com/instructor_1.jpg,,2026-04-13T04:25:31+00:00
marin,"Crosshair Training, LLC","Dennis Jamarck, Jr.",,(707) 486-4445,https://www.crosshairtraining.com,direct_booking,,,"764 Aviation Boulevard Unit#151, Santa Rosa, California 95403",,,325,175,,100,"Crosshair Training LLC is a Bay Area firearms and self-defense training center that offers CCW training for multiple cities and counties in the Bay Area. They provide realistic training that goes beyond the square range and incorporates movement and interactive targets to prepare students for real-world scenarios. The company is a BSIS licensed training facility with DOJ CCW certified instructors, offering classroom instruction in Santa Rosa and live-fire training at the Richmond Rod & Gun Club.",success,high,"Found clear pricing for all main CCW services, booking capability through 'Sign Up Now' buttons, address provided, and comprehensive vendor description from website copy",,marin/crosshairtraining-com/instructor_2.jpg,,2026-04-13T04:25:31+00:00
marin,"DEFENSIVE ACCURACY, LLC",Denise King,,(408) 687-3791,https://www.daccw.com/ccw-classes,unclear,,,,,,,,,,"Defensive Accuracy, LLC has been training law abiding Californians in concealed carry since 2006. All instructors are certified by the California Department of Justice as Certified DOJ CCW Instructors. They offer 16-hour initial CCW classes and 8-hour renewal classes at locations in Concord and Richmond, as well as private and semi-private training options.",success,low,"No pricing information found, no specific addresses, and no clear booking mechanism. Only basic service offerings and general location cities identified.",marin/daccw-com/logo.png,,,2026-04-13T04:25:31+00:00
marin,Execushield Training Center,Marco Innocenti; Michelle Wagner,info@execushield.com,(510) 625-4940,https://execushield.com/ccwcourse,direct_booking,,,,,,339,,,,"Execushield Training Center is a comprehensive security and firearms training facility approved by multiple Bay Area law enforcement agencies including San Mateo County Sheriff, San Francisco PD, and several Marin County departments. They offer California CCW courses along with professional security guard training, first aid certification, and specialized law enforcement programs. The company operates with the philosophy of exceeding industry standards and considers every student part of their community, training them to thrive and succeed.",success,medium,"Clear booking capability and full 16hr course price found, but no address, individual day pricing, renewal courses, or add-a-gun pricing listed. Good vendor description available from website copy.",marin/execushield-com/logo.png,,marin/execushield-com/training_2.png|marin/execushield-com/training_3.jpg,2026-04-13T04:25:31+00:00
marin,Grover Group,Anoop Grover,anoop@ggccw.biz,(510) 516-1431,https://ggccw.biz,inquiry_only,,,,,,450,300,,100,"Grover Group Training offers California-approved DOJ SB2 CCW curriculum with certified instructors holding credentials from the California Department of Justice, NRA, USCCA, and California POST. They provide hybrid delivery combining virtual instructor-led lectures with live-fire qualification, serving over 30 sheriff's offices and police departments across Northern California. Their courses are limited to 10 students for semi-private instruction, with private courses available upon request.",success,high,"Clear pricing structure found, comprehensive service description available, but no physical address provided and booking requires contact inquiry",marin/ggccw-biz/logo.png,,marin/ggccw-biz/training_1.jpeg|marin/ggccw-biz/training_2.jpg,2026-04-13T04:25:31+00:00
marin,Paladin Tactical US,Dan Butler,paladintacticalus@gmail.com,(707) 863-1064,https://www.paladin-tactical-us.com,unclear,,,,,,,,,,"Paladin Tactical is a CCW training provider serving Contra Costa and Alameda counties, operating out of United Sportsmen range in Concord, CA. Their team of Bay Area instructors offers comprehensive firearms training including CCW classes, advanced pistol, rifle, shotgun, and scenario-based training for responsible citizens, law enforcement, and security professionals. They emphasize maintaining a professional and safe training environment.",success,low,"Only found general descriptions and location (range name/city), but no specific pricing, booking details, or course structure information",marin/paladin-tactical-us-com/logo.png,,,2026-04-13T04:25:31+00:00
