county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
los-angeles,TRB Training FT3 Tactical Range,,https://www.trbtraining.com,(949) 566-7263,info@trbtraining.com,Stanton,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,MV Tactical & Firearms Training,Brian,https://mvtactical-firearmstraining.com,(310) 720-2028,brian@mvtactical-firearmstraining.com,Santa Clarita,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,Firearms Training Associates,,https://ftatv.com,(714) 701-9918,info@ftatv.com,Corona,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,Concealed Coalition,,https://concealedcoalition.com,(877) 835-7560,info@concealedcoalition.com,La Puente,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,Double Tap Training Center,Simon,https://www.doubletapshooting.com,(818) 363-1777,simon@doubletapshooting.com,Lake View Terrace,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,Aegis Authority,,https://www.aegisauthority.com,(626) 347-0801,aegisauthority@yahoo.com,Rancho Cucamonga,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,Medic Up Consulting,Ron,https://www.medicupconsulting.com,(714) 767-0156,ron@medicupconsulting.com,Azusa,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,CalGuns Training,,https://www.calgunstraining.com,(805) 765-1486,calgunstraining@gmail.com,Piru,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,ShootSafe Academy FT3 Tactical Range,,https://www.shootsafeacademy.com,(714) 625-1507,shootsafe@outlook.com,Stanton,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,CCW Permit Instruction Evans Gun World,Orville,https://www.ccwpermitinstruction.com,(949) 769-9099,orville@ccwpi.com,Orange,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,Anchor Point Tactical,Jeff,,(310) 703-3732,anchorpointtactical.jeff@gmail.com,Los Angeles,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,M5 Training School of Protective Services,,https://www.m5protectivetraining.com,(661) 418-6995,M5protectivetraining@gmail.com,Lancaster,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,VIP CCW Services LAX Airport Range,,https://www.vipccwservices.com,(310) 500-9200,vipccwservices@gmail.com,Inglewood,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,Coach K's Training,Kealii,https://www.coachkstraining.com,714-724-8705,kealii@coachkstraining.com,Pala,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,The Kit Group,Pete,https://www.thekitgroup.com,(949) 422-0313,pete@thekitgroup.com,Chino Hills,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,Jarvis Firearms Training,,https://www.jarvisfirearmstraining.com,(661) 752-5024,Info@JarvisFirearmsTraining.com,Mojave,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,Armed Response Marksman The Gun Shop,,https://www.arm4you.com,(661) 243-3117,info@arm4you.com,Lancaster,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,Sentri Institute,Paul,https://www.sentriinstitute.com,(949) 591-9747,paul@sentriinstitute.com,Stanton,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,Safe Insight,,https://www.safeinsight.net,(877) 217-7233,info@safeinsight.net,Artesia,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
los-angeles,Apex Firearms Training,Scott,https://www.laccw.net,(818) 825-8760,scott@laccw.net,Sylmar,CA,https://permitium-downloads.s3.amazonaws.com/LASD/LASD_AUTHORIZED_TRAINING_PROVIDERS.pdf,pdf
