county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
mariposa,Stage Stop Gun Shop,,,(209) 358-4867,,Atwater,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
mariposa,JLPFI,John Lewis,,(559) 349-3833,,Clovis,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
mariposa,Bill & Cathy Tidwell,Bill Tidwell; Cathy Tidwell,,(209) 878-3056,,Coulterville,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
mariposa,Rainey Mays Gun Shop,,,(310) 591-6193,,El Nido,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
mariposa,Weapons Training School,,,(209) 532-6677,,Long Barn,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
mariposa,Chris Williams Firearms Training,Chris Williams,,(559) 994-1261,,Fresno,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
mariposa,Ernie Rodrigues,Ernie Rodrigues,,(559) 304-8611,,Fresno,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
mariposa,Steve Carrillo,Steve Carrillo,,(559) 353-0267,,Madera,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
mariposa,Hammer Stryke,,,(209) 614-1718,,Mariposa,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
mariposa,Hard Focus Firearms,,,(209) 564-0332,,Merced,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
mariposa,M2 Firearms Training,,,(209) 386-7344,,Merced,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
mariposa,Valley Defense Consulting Inc.,,,(209) 552-5728,,Modesto,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
mariposa,Madison Society Foundation,,,(209) 318-5730,,Oakdale,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
mariposa,Jim Bernardi Firearms,Jim Bernardi,,(559) 683-5869,,Oakhurst,CA,https://www.mariposacounty.gov/622/Concealed-Weapons-Permits,webpage
