county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
merced,601 Atwater Blvd.,,,(209) 358-4867,[email protected],Atwater,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,Stage Stop Gun Shop,,,(209) 552-5728,[email protected],Modesto,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,Valley Defense Consulting,,,(503) 776-4855,,Redding,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,Northern Firearms Instruction,,,(209) 535-0077,[email protected],Salida,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,Trident Firearms Academy,,,(209) 863-2355,[email protected],Riverbank,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,Kiwi's Custom Guns,,,(707) 344-1057,,Vallejo,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,G&L Security Training,,,(209) 386-7344,,Merced,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,M2 Firearms Training,,,(209) 564-0332,[email protected],,,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,"Hard Focus Firearms Training, LLC",,,(209)587-0809,[email protected],Gustine,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,Rescue74CPR,,,(559) 349-3833,,,,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,John Lewis Professional Firearms Instruction,John Lewis,,,,,,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,The Range Pistol Club,,,(559) 276-9800,,Fresno,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,Police Science Institute,,,(209) 614-1718,,Mariposa,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,"Hammer Stryke Self-Reliance Training, Inc.",Keith Brown,,(510) 736-4333,[email protected],Tracy,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,"First Priority Security Consulting, LLC",Eric Olson,,(559) 765-7702,,Chowchilla,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,10312 Griffith Ave.,,,(209) 667-9985,[email protected],Delhi,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,"210 S. Sierra Avenue, Suite 204",,,(209) 318-5730,,Oakdale,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,Madison Society Foundation,,,(209) 752-9253,[email protected],,,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,ASP Security Training,,,(209) 575-4867,,Modesto,CA,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,Called2Arms Gun Range,"Francisco ""Paco"" Villarreal",,(559) 790-3071,,,,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,559CCW,,,(559) 226-6189,[email protected],,,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,6th Nation Gun Club,Anoop Grover,,(510) 676-6076,,,,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
merced,Grover Group,,,,,,,https://www.countyofmerced.com/3266/CCW-Approved-Instructor-Classes,webpage
