county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
mono,Nevada Firearms Academy,"Mike Ford; D.E. ""Doc"" Cotton",,(775) 884-4867,,Carson City,NV,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,Powers Firearms Training Corp,Rebecca Powers,https://www.kernccw.com,(661) 871-7273,becky@kernccw.com,,,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,Security Academy McClellan,Randall Fritz,,(916) 333-5308,securityatmc@gmail.com,McClellan,CA,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,California and Nevada CCW,Kirk Reinschmidt,https://www.concealedcarrynevada.com,(775) 224-8171,kirk@concealedcarrynevada.com,,,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,"Trinity Tactical, LLC",Gary Underhill,https://www.trinitytacticalnv.com,(775) 622-7009,,,,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,Concealed Coalition,,https://www.concealedcoalition.com,(800) 805-2238,Info@concealedcoalition.com,,,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,Front Sight Firearms Training Institute,J. Scott Hoerner,https://www.frontsight.com,(702) 837-7433,,Pahrump,NV,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,"Sierra Tactical, LLC",Joe Pecsi,,(760) 784-0699,,Bishop,CA,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,"CCW Firearm Training, LLC",Jim Crowley,https://www.ccwfirearmtraining.com,(775) 691-6670,,Carson City,NV,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,Safe and Tactical Firearms Training,Gene N. Kinum,,(760) 935-3830,,Bridgeport,CA,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,Advanced Firearms Training & Consulting,Randall Brooks,https://www.aftc.biz,(775) 671-5534,,Carson City,NV,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,Shooter on the Line,David Rollins; Fareed Dhanoya,,(916) 337-1753,shootersontheline@yahoo.com,Folsom,CA,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,Integrity Firearms Training,Debbie Keennon; Robert Priscaro,,(775) 720-1275,trainingwithintegrity@gmail.com,Gardnerville,NV,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,Intergritas,Amber Carrillo; Luis Carrillo,https://www.integritasinc.com/contact,,,Wellington,NV,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,Guns4US,Tom Wiknich,,760-375-1004,guns4us@earthlink.net,Ridgecrest,CA,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,Kings Gun Center,Todd Cotta,,559-696-9052,todd@kingsguncenter.com,,,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
mono,U.S. LawShield,,https://educate.uslawshield.com,877-448-6839,,,,https://drive.google.com/file/d/1BXezrH8fQ2BkIWX_OaEmMYyYfKEgUUgL/view?usp=sharing,google_drive_pdf
