county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
san-benito,831 SHOOTER,David Wasson,,831-265-7505,831shooter@a3.net,Hollister,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,ALLIANCE SECURITY TRAINING INSTITUTE,Everett Fitzgerald,,831-883-3307,alliancesectraining@yahoo.com,,,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,FIREARMS TRAINING INSTITUTE,Steve Tremper,https://www.xipro.net,831-402-1499,STIservices@comcast.net,Salinas,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,Tremper Tactical,David G. Matthews,,408-506-1884,,San Jose,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,AZEVEDO FIREARMS,Dan Azevedo,,530-518-9210,Azevedofirearms@sbcglobal.net,Briggs,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,J&K FIREARMS TRAINING,Kriss Costa,,831-801-5427,workinclassranch@yahoo.com,,,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,BAY AREA TACTICAL GROUP (BAT TACTICAL),,https://www.battactical.com,415-568-6803,batinstructors@gmail.com,San Carlos,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,NORCAL MEDTAC,Brannon Schell; Bob Rodd,,831-970-0440,,,,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,Concealed Coalition,,https://www.concealedcoalition.com,800-805-2238,training@concealedcoalition.com,,,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,D.B. Firearms Training,Dennis Bushnell,,559-294-0976,dennis_bushnell@a3.net,,,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,6th Nation Gun Club,Dana Hanson,,831-801-1996,dana@hansontc.com,,,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,NORTHERN FIREARMS INSTRUCTION,Ted Lidie,,530-776-4855,ted@reddingccw.com,,,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,DEL VALLE GUNSMITHING,Ray Parga; Joey Parga,,831-384-1911,ray@delvallegunsmithing.com,Marina,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,BAY AREA FIREARMS,Scott Jackson,,,bayareafirearms@gmail.com,Burlingame,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,CROSSED STAR FIREARMS,Morgan Dant,,530-790-5187,crossedstarfirearms@yahoo.com,,,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,KYSMET SERVICES,Esteban Garcia; Ana Perez,,831-998-0478,Kysmetservices@gmail.com,Salinas,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,HARD FOCUS FIREARMS TRAINING,Matthew Haywood,https://www.hardfocustraining.com,209-564-0332,,,,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,MAESTRI SHOOTING SPORTS,Mike Maestri,,831-970-1943,maestriss@yahoo.com,,,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,SABER TACTICS,Ephriam Cheever; Nicholas Suslow,https://sabertactics.com,650-276-0009,,Foster City,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,AAO,Bryan Kinney,https://aao-co.com,707-400-3677,,,,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,ASP SECURITY TACTICS,,https://aspfirearms.com,,,Petaluma,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,EXECUTECH INC.,Leslie Garcia,https://www.executechinc.com,408-966-0136,,Gilroy,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,California CCW Courses,,https://californiaccwcourses.com,,,,,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,GROVER GROUP,,https://ggccw.biz,510-516-1431,anoop@grovergroup.biz,San Jose,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,SAFE FIREARMS EDUCATION LLC,Bertrand B. Blanc,https://www.safefirearmseducation.com,408-384-8598,bertrand.blanc@SafeFirearmsEducation.com,San Jose,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
san-benito,McGrew & Associates Inc.,Jonathan Chavoor,,408-647-4567,john@mcgrewpi.com,Santa Clara,CA,https://drive.google.com/file/d/1my2Zs9orCFpXcmmQ5gICal0FpImdNWf9/view?usp=sharing,google_drive_pdf
