county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
san-joaquin,Bay Area Tactical (BAT),Tracy,https://www.battactical.com,(415) 568-6803,batnett.orders@gmail.com,Elite Armory,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,C & World LLC,Charles Boyd,https://www.cxsworld.net,(209) 505-6815,info@cxsworld.net,"Kxi Defense, Stockton CA Elite Armory, Tracy CA Linden Gun Range, Linden CA",CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Concealed Coalition,Terry Schutt & Donald Wheaton,https://www.concealedcoalition.com,(800) 805-2238,schuettingen@concealedcoalition.com,"Linden Gun Range, Linden CA",CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Defensive Accuracy Firearms Training,Larry Zeinke & Larry Deacon,https://www.daccw.com,(209) 931-6523 (209) 603-5771,benhike@daccw.com,"Linden Gun Range, Linden CA",CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Defensive Weapons School,Dan Souza,https://www.defensiveweaponsschool.org,(925) 548-0430,Defensive_Weapons_School@yahoo.com,"Linden Gun Range, Linden CA",CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Elite Armory Plus,Gene Castillo & Ronnie Hulst,https://www.elitearmory.com,(209) 382-2010,tracyinfo@elitearmory.com,"Elite Armory, Tracy CA",CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Expert Firearms Training LLC,Roy Bryson,https://www.goxswat.com,(925) 550-2780,Roy@expertfirearmstraining.com,"Elite Armory, Tracy CA",CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,First Priority Security Consultant,Keith Brown,https://www.fps-inc.com,(510) 736-4333,keithbrown@fps-inc.com,"Brentwood Arms, Ripon CA",CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,First Response Firearms & Tactical Trg,Duncan Ramirez Carlos Tixco,https://www.firstresponsefirearms.com,(209) 825-8016,rangeproof@concentra.net,"Linden Gun Range, Linden CA",CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Gover Group,Ancop Grover,https://gscov.biz,(510) 676-5076,ghopaggovergroup.biz,Elite Armory,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Hammerhead Institute of Training,Manor Strouchenter,https://www.hammerheadprotection.com,(209) 227-6566,traininghammerheadprotection.com,Linden Gun Range,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,KW Defense,Chuck Fields,https://www.kwdefense.com,(209) 481-4111 (770) 919-4567,CHUCKS@KWDEFENSE.com,The Range at Ivy Defense,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Legionarius Firearms Institute,Wesley Legiontrustno,https://www.lifiguns.com,(209) 401-9907,wesley@lifiguns.com,Tri Range at the Ranch,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Linden Gun Range,Glenn Jaspesoy,https://www.lindengunrange.com,(209) 887-3181,geardonealindengunrange.com,Linden Gun Range,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Mid-Cal Security,James Wong & Tim Lee,,(209) 403-0186,jbooth56@yahoo.com,Manteca Sportsman,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,NIF - Northern Firearms Instruction,John Lewis,https://www.ccwinti0cxw.com,(253) 906-3715,jlewis@stdgupro.com,Linden Gun Range,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Red Dot Self Defense,Cherle Simase-Grover,https://www.facebook.com/reddotselfdefense,(209) 787-0121,reddotselfdefense@gmail.com,KW Defense,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Ripon Technical Solutions,Joe Francesolo,https://www.ripontech.com,(209) 597-8656,info@ripontech.com,Escalon Sportsman Club,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Rosargarten Security Training,Marcello Rosargarten; Richard Centhu,https://www.rosargentfirearm.com,(209) 610-1425,rosargarten@firearm.com,Barnwood Arms,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Sober Tactics,Nick Sushow; Ephram Chester,https://www.sobertactics.com,(650) 276-0009,training@sobertactics.com,Elite Armory,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Silvercreek Security Academy,Conrad Levoit,https://www.scstacgov.com,(209) 456-0607,Conrad@scstacgov.com,Elite Armory,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Spartan Defense,Fidel Taylor,https://www.forinthesparton.com,(209) 900-5200,FidelForintheSparton.com,Linden Gun Range,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Straightline Defense LLC,Marshall Jones,https://no website,(209) 252-5396,straightlinedefense209@gmail.com,Manteca Sportsmans Club,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Valley Defensive Solutions,Marvin Domingo; Morory Cross,https://www.valleydefensivesolutions.com,(209) 518-5054,training@valleydefensivesolutions.com,Linden Gun Range,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Weapons Training School,Stephanie Miller,https://www.weaponsconstruiningschool.com,(209) 532-6677,weaponsconstrungschool@gmail.com,Linden Gun Range,CA,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Called 2 Arms Gun Range,Jerry Stenner,https://www.called2armsgunrange.com,(209) 575-4867,Snte2@aol.com,,,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,Elite Armory,Gabe Castillos; Robert Jodme,https://www.elitearmory.com,(209) 582-2010,troyruinfo@elitearmory.com,,,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
san-joaquin,California Online CCW,Jacob Frazier; Jacob Biemjörn,https://www.californiaonlineccw.com/nonresident,(559) 294-3400,californiaonlineccw@gmail.com,,,https://sjsheriff.org/wp-content/uploads/2025/04/CCW-Vendor-List-2026.pdf,pdf
