county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
san-diego,"2ND A FIREARMS TRAINING, LLC",William McLaren; Paul Gooding; Alisha Curtin; Maurice Cleary; Malcolm McLaren; Tamara Stapleton; Gary Sanchez; Austin Johson,https://www.2aftng.com,858-737-8662,training@2aftng.com,San Diego,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,A1 TEMPLAR ARMORY,Jere Wheale,,619-468-5150,coms@templararmory.com,San Diego,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,ABC LIVESCAN AND TRAINING,Alex Cruz,,619-934-7300,abclivescanandtraining@yahoo.com,San Diego,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,308 TACTICAL FIREARMS TRAINING,Will Miller,,805-585-5220,info@308tac.com,San Diego,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,CCW USA FIREARMS TRAINING,William Desy; Joseph Drammissi; Brandi Joseph; Tony Perez,https://www.ccwusa.com,619-871-9834,info@ccwusa.com,Escondido,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,FORTUNE FIREARMS,,https://www.fortunefirearms.com,951-390-6348,help@fortunefirearms.com,Temecula,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,DISCOUNT GUN MART,Kyle Dau; Alisha Curtin,https://www.discountgunmart.com/info/concealed-carry-courses,619-324-7520,training@discountgunmart.com,,,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,PRACTICAL DEFENSE SYSTEMS,Patrick Lovette; Mark Hamersly; Paul Dugas; Joel Persinger,https://www.pdsclasses.com,619-663-6811,info@pdsclasses.com,,,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,THE GUNSMITH GUY,Joshua Glassman; Arthur Reiersen,https://thegunsmithguy.com,619-733-1582,arthur@thegunsmithguy.com,San Diego,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,DAVID PREMETZ PRACTICAL IS TACTICAL,David Premetz,,,,,,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,A GUNGIRL DEFENSE,Melissa Morris,,719-310-2719,gungirldefense@gmail.com,Escondido,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,PERSONAL PROTECTION ACADEMY,Mike Pettengill; Erin Pettengill,https://www.the-ppa.com/ccw,951-574-9009,info@the-ppa.com,Murrieta,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,POWAY WEAPONS AND GEAR,John Phillips; Thomas Fitzgerald; John Woo; Frank Hoyos,,858-206-5057,training@pwgrange.com,Poway,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,RICHARD HALL CONSULTING,Richard Hall,,818-419-2992,alpha1wardog12@gmail.com,Oceanside,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,VIP CCW SERVICES,Joshua Comen; Brian Jenson; Sean Ward; Juan Victorino; Stephen Laskowski,https://www.vipccwservices.com,310-500-9200,vip@vipccwservices.com,Oceanside,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,MCLAREN DEFENSE,William McLaren; Paul Gooding; Alisha Curtin; Maurice Cleary; Malcolm McLaren; Tamara Stapleton; Gary Sanchez; Austin Johnson,https://www.mclarendefense.com,858-337-7876,training@mclarendefense.com,Orange,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,FORZA DEFENSE TRAINING,Gina Vertucci; Laurie LaRock,https://www.forzadefense.com,714-406-2828,support@forzadefense.com,,,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,ARC ANGEL DEFENSE,Harrison Scruggs,,619-856-4324,aadefensesd@gmail.com,National City,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,THE CCW SCHOOL,Katie Lukach; Michael Lukach; Andrew Chavez,https://theccwschool.com,562-645-3494,info@theccwschool.com,Stanton,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,TRIGGER PREP,Raymond Walton,https://www.trigger-prep.com,619-571-1783,rwalton40@gmail.com,Bonita,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
san-diego,CRUSADER FIREARMS TRAINING,Andrew Huss,,805-603-2663,crusaderfirearmstraining@gmail.com,Fallbrook,CA,https://www.sdsheriff.gov/home/showpublisheddocument/10012/639107112907930000,pdf
