county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
tuolumne,Approved CCW Instructors,,,,,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,559 Concealed Carry,,,559-790-3071,paco@559ccw.com,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Accuracy Firearm Training,,https://accuracyfirearm.com,916-316-6996,Exglock@gmail.com,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Alpha Point Firearms Training,,https://alphapointtraining.com,209-660-9414,info@alphapointtraining.com,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Bill Tidwell,Bill Tidwell,https://train2besafe.com,209-878-3056,bill@train2besafe.com,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,California Online CCW,,https://californiaonlineccw.com/nonresident,559-294-9400,,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Case Defensive Training Group,,https://casedefensivetraininggroup.com,209-665-5541,,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Confidence Firearms & Weapons Training,,,209-768-1497,conna586@icloud.com,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Defensive TRIAD,,https://defensivetriad.com,916-765-5661,info@defensivetriad.com,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Defensive Weapons School,,https://defensiveweaponsschool.com,925-549-0480,defensive_weapons_school@yahoo.com,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Dynamic CCW Academy,,https://calaverasccw.com,209-770-5550,,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Grover Group,,https://ggccw.biz,510-676-6076,anoop@grovergroup.biz,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Hard Focus Firearms Training,,https://hardfocustraining.com,209-564-0332,hardfocustraining@gmail.com,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Kiwi's Custom Guns,,https://kiwiscustomguns.com,209-863-2355,,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Madison Society Foundation,,,,Registration@madisonsocietyfoundation.org,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,ROZO Tactical,,https://rozotactical.com,209-425-0075,training@rozotactical.com,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Saber Tactics,,,650-276-0009,training@sabertactics.com,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Safe Insight,,https://safeinsight.net/california-ccw,877-217-7233,Info@SafeInsight.net,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Spartan Defense,,https://trainwithspartan.com,209-202-8283,,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Stage Stop Gun Shop,,https://stagestopgunshop.com,209-358-4867,Range@SSGS.US,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Valley Defense Consulting,,https://valleydefense.com,209-552-5728,training@valleydefense.com,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
tuolumne,Weapons Training School,,https://weaponstrainingschool.com,209-532-6677,,,,https://www.tuolumnecounty.ca.gov/342/CCW,webpage
