county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
yuba,A Best CCW Training,john,,916-744-6969,john@bestccwtraining.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,API Academy,mike_hahn,,530-749-0283,mike_hahn@eliteuniversalsecurity.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,Bad Moon Shooting,Steve,,530-988-8772,Steve@BadMoonShooting.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,Bellicose Family Safety Solution,,,530-570-2746,bellicosefss@gmail.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,CCW Shooters,mike,,916-207-7350,mike@ccwshooters.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,CONseale,john,,530-632-4101,john@conseale.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,Crossed Star Firearms,,,530-790-5187,crossedstarfirearms@yahoo.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,DAFAST,,,916-838-4926,DAFASTraining@gmail.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,Down Range,,,530-896-1992,info@downrangechico.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,Essential Self Defense,,,530-713-2070,tawadc95@yahoo.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,Family Defense Training LLC,,,707-334-7740,info@famdefenseccw.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,Miladi Defense,sk,,530-751-9400,sk@miladigroup.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,My CCW Now,,,775-842-1289,rescue4me@live.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,NorCal Tactical,,,530-713-7470,NorCalTacticalSales@gmail.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,Precision Firearms Training Solutions,,,916-398-3822,info@precisionfirearmstrainingsolutions.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,Reinhardt Firearms Instruction,,,530-635-4733,bigrugman@gmail.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,Shooters Paradise,,,530-673-4100,info@spyc.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,STTARR,joe,,760-784-0699,joe@sttarr.net,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,Twin Cities Rod and Gun Club,,,530-790-0464,twincitiesgunclubccw@gmail.com,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
yuba,California Online CCW,,,559-294-9400,INFO@CALIFORNIAONLINECCW.COM,,,https://cms7files.revize.com/yubaca/Yuba%20County/Sheriff/CCW/CCW%20Instructors%20list%207-1-25.pdf,pdf
