county,vendor_name,instructor_names,email,phone,website_url,booking_capability,city,state,address,price_16hr_day1,price_16hr_day2,price_16hr_full,price_8hr_renewal,price_8hr_initial,price_add_a_gun,vendor_description,crawl_status,enrichment_confidence,confidence_notes,logo_path,instructor_image_paths,training_image_paths,enriched_at
fresno,JLPFI - John Lewis Professional Firearms Instruction,John Lewis,johnlpfi@gmail.com,(559) 349-3833,https://www.jlpfi.com,direct_booking,Clovis,,"1187 N Willow Ave. Suite #103-4, Clovis, CA 93611-4411",,,425,225,,,"John Lewis Professional Firearms Instruction (JLPFI) is a professional firearms training business that specializes in personalized concealed weapons courses and advanced instruction. They offer approved Initial CCW courses for most Central Valley governing authorities, with training that meets and exceeds minimum legal requirements. Their approach emphasizes respect, integrity, and personalized experiences, focusing on defining the difference between shooting and training while building mindset and muscle memory skills for self-defense situations.",success,high,"Clear pricing for full courses, direct booking capability with 'Book Online' button, comprehensive vendor description available, but no day-by-day pricing breakdown or add-a-gun fees found",,fresno/jlpfi-com/instructor_1.jpg|fresno/jlpfi-com/instructor_2.jpg,fresno/jlpfi-com/training_1.jpg,2026-04-13T04:37:12+00:00
lassen,Crossed Star Firearms,Morgan Dant,crossedstarfirearms@yahoo.com,(530) 790-5187,https://www.crossedstarfirearms.com,inquiry_only,"Susanville/Lassen Co, Loma Rica, Chico, Lincoln, Online",,,,,300,175,,,"Crossed Star Firearms is a Northern California firearms instructor offering CCW classes approved for residents from multiple counties including Butte, Contra Costa, Glenn, Lassen, Modoc, Nevada, Placer, Plumas, Sacramento, San Benito, Sutter, Tehama, Trinity, Yuba, and Yolo. They provide comprehensive firearms training for all levels of shooters, including 16-hour initial CCW courses, 8-hour renewal classes, multi-state CCW options, and various pistol instruction programs. The instructor emphasizes creating a comfortable learning environment and offers specialized classes for different needs including ladies pistol courses and situational awareness training.",success,medium,"Clear pricing for renewal and 16hr full course found, but no specific address listed and booking appears to require contacting vendor rather than direct online booking",lassen/crossedstarfirearms-com/logo.png,lassen/crossedstarfirearms-com/instructor_1.png|lassen/crossedstarfirearms-com/instructor_2.png,,2026-04-13T04:37:12+00:00
lassen,Echo Whiskey Tactical Training,Jeff Wallace,,(530) 690-5599,https://www.echowhiskeytactical.com,,Redding,,,,,,,,,,success,,,,,,2026-04-13T04:37:12+00:00
lassen,Northern Firearm Instruction,Seth Stout; Theodore Lidie; Emily Booth,strout@usgunpro.com,(530) 999-1822,https://www.countyccw.com,inquiry_only,"Redding, Online",,"1659 Hilltop Dr, Redding, CA 96002",,,,,,,"Northern Firearms Instruction (NFI) is a team of NRA-credentialed instructors operating throughout California, specializing in CCW training for over 50 counties and cities. They offer CCW courses, renewal classes, ladies-only CCW training, and various NRA instructor certifications. NFI maintains strict instructor-to-student ratios and operates from multiple locations including Sportsman's Warehouse stores across the state.",success,medium,"Found good vendor description and address for Redding location, but no pricing information visible on the website. Booking appears to require inquiry only based on 'Reserved Seating Only. Call Today!' messaging.",,,lassen/countyccw-com/training_1.jpg|lassen/countyccw-com/training_2.jpg,2026-04-13T04:37:12+00:00
lassen,Safe Insight,Aaron Miller,,(877) 217-7233,https://www.safeinsight.net,direct_booking,Online,,,,,99,,,,Safe Insight provides sheriff-approved online CCW training that allows students to complete sections at their own pace. They offer instruction from retired law enforcement officers and include one-on-one qualification with up to one hour of private instruction. The company serves multiple California counties and provides a money-back guarantee for their training programs.,success,medium,"Found clear $99 pricing and good description, but unclear if this covers full 16hr requirement or just online portion. Qualification fees are separate and variable. No specific course hour breakdowns provided.",lassen/safeinsight-net/logo.png,,,2026-04-13T04:37:12+00:00
los-angeles,TRB Training FT3 Tactical Range,,info@trbtraining.com,(949) 566-7263,https://www.trbtraining.com,direct_booking,Stanton,CA,,,,300,300,,,"Tap Rack Bang is a professional firearms training company that positions itself as relentless advocates for the 2nd Amendment, dedicated to training responsible Americans into capable civilian defenders. They offer CCW training courses, pistol and rifle training programs ranging from beginner to advanced levels, and private training sessions. The company emphasizes practical, real-world defensive skills with no range theatrics or nonsense training, and their instructors bring over 30+ combined years of experience training US Marines, law enforcement, and civilians.",success,medium,"Found clear booking capability and CCW pricing ($300 for both 2-day initial and 8-hour renewal), but pricing shows ranges ($300-$450) suggesting possible variations. No specific address found beyond Stanton, CA location reference. No add-a-gun pricing found.",los-angeles/trbtraining-com/logo.png,los-angeles/trbtraining-com/instructor_1.jpg,los-angeles/trbtraining-com/training_1.png|los-angeles/trbtraining-com/training_2.png|los-angeles/trbtraining-com/training_3.png,2026-04-13T04:37:12+00:00
los-angeles,ShootSafe Academy FT3 Tactical Range,,shootsafe@outlook.com,(714) 625-1507,https://www.shootsafeacademy.com,inquiry_only,Stanton,CA,,,,,,,,"ShootSafe Academy has been providing professional instruction and services to Orange County for over 13 years, recently expanding into Riverside, Los Angeles, San Diego Counties and other southern California cities. They offer 16-hour Basic CCW and 8-hour Renewal courses, as well as Arizona and Utah non-resident certification, with reciprocity in over 38 states. The academy specializes in small class sizes for personalized attention and can customize courses to suit individual learning and scheduling needs.",success,low,"Website only offers 'Request Information' buttons without direct booking or pricing. No specific address found despite location being listed as Stanton, CA. Good vendor description available but no pricing information.",los-angeles/shootsafeacademy-com/logo.jpg,,,2026-04-13T04:37:12+00:00
los-angeles,CCW Permit Instruction Evans Gun World,Orville,orville@ccwpi.com,(949) 769-9099,https://www.ccwpermitinstruction.com,,Orange,CA,,,,,,,,,failed,,,,,,2026-04-13T04:37:12+00:00
los-angeles,VIP CCW Services LAX Airport Range,,vipccwservices@gmail.com,(310) 500-9200,https://www.vipccwservices.com,unclear,Inglewood,CA,,,,,,,,"VIP CCW Services has been providing California CCW permit training since 2015 in adherence to CA Penal Code 26165. They offer modular formatted classes seven days a week with CA POST certified law enforcement instructors and DOJ CCW instructors. The company is an authorized training provider for numerous California law enforcement agencies including LASD, LAPD, Orange County Sheriff's Department, and many municipal police departments, also offering hybrid online/in-person training and multi-state CCW classes.",success,low,"No pricing information found on the website content provided. Has shopping cart functionality suggesting direct booking but no clear booking process visible. No address found despite location being listed as Inglewood, CA.",los-angeles/vipccwservices-com/logo.jpg,,,2026-04-13T04:37:12+00:00
los-angeles,Armed Response Marksman The Gun Shop,,info@arm4you.com,(661) 243-3117,https://www.arm4you.com,inquiry_only,Lancaster,CA,,,,,,,,"Armed Response Marksman provides firearms training in Lancaster, CA with a goal of creating a positive learning environment for students of all backgrounds. They offer instruction for both rifle and pistol, including California Concealed Carry courses, renewal courses, basic pistol and rifle classes, and court-ordered firearm safety classes. The business strives to educate with quality instruction to help students continue learning and enjoying the art of using firearms safely.",success,low,"Found clear course offerings and vendor description, but no pricing information anywhere on the site. Calendar shows scheduled classes but no booking mechanism or costs. Address only shows 'Gun Shop' as venue location without full street address.",los-angeles/arm4you-com/logo.jpg,,los-angeles/arm4you-com/training_1.jpg|los-angeles/arm4you-com/training_2.jpg|los-angeles/arm4you-com/training_3.jpeg,2026-04-13T04:37:12+00:00
